Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-06-01,2313,3740,1.61,0,863,240,0,0,827
2020-06-02,3355,15441,6.64,7,515,241,33,104,2009
2020-06-03,2532,6584,2.84,2,702,182,33,24,1024
2020-06-04,2923,6599,2.84,2,827,272,43,21,1437
2020-06-05,2998,8242,3.55,1,645,275,32,36,1598
2020-06-06,3465,22257,9.57,16,327,166,45,160,2154
2020-06-07,2441,5715,2.45,0,635,254,7,3,1007
2020-06-08,2371,5601,2.4,2,771,175,11,21,867
2020-06-09,2752,9049,3.89,8,617,217,31,47,1311
2020-06-10,2485,4769,2.05,2,705,211,13,10,955
2020-06-11,2865,3073,1.32,0,722,320,31,0,1,443
2020-06-12,2785,10474,4.51,8,679,176,13,70,1261
2020-06-13,3252,9098,3.92,5,557,279,58,51,1907
2020-06-14,2548,7247,3.11,1,506,198,12,39,1057
2020-06-15,2447,5673,2.43,2,710,188,10,14,882
2020-06-16,2581,6286,2.7,3,736,206,5,33,1045
2020-06-17,2512,6346,2.73,2,674,190,8,31,989
2020-06-18,2951,9447,4.78,13,599,264,12,35,1501
2020-06-19,2387,5354,2.3,1,788,158,5,23,777
2020-06-20,2333,4430,1.91,0,772,182,8,12,794
2020-06-21,2801,7410,3.17,4,496,263,39,22,1422
2020-06-22,2571,6953,2.99,1,815,216,5,30,1068
2020-06-23,2251,4107,1.77,1,735,146,5,15,644
2020-06-24,2687,5867,2.53,4,852,179,31,35,1161
2020-06-25,2501,6303,2.71,7,643,183,19,28,1011
2020-06-26,2683,3874,1.67,1,729,213,20,26,1130
2020-06-27,3397,7287,2.99,1,543,224,35,95,1970
2020-06-28,2476,4087,1.76,1,787,240,10,0,933
2020-06-29,2764,5784,2.49,2,704,222,54,12,1295
2020-06-30,2694,7220,3.11,1,559,205,20,35,1188
