Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-04-01","1,907","0","0","0","1,440","0","0","0","0"
"2020-04-02","1,652","0","0","0","1,440","0","0","0","0"
"2020-04-03","1,962","0","0","0","1,413","8","0","19","338"
"2020-04-04","1,654","0","0","0","1,440","0","0","0","0"
"2020-04-05","2,527","4,076","1.76","2","1,275","83","23","59","1,006"
"2020-04-06","3,314","5,804","2.5","0","1,113","131","101","95","1,994"
"2020-04-07","3,580","12,714","5.47","12","1,048","223","49","120","2,279"
"2020-04-08","3,089","8,649","3.72","5","1,176","150","20","94","1,687"
"2020-04-09","2,021","3,908","1.68","3","1,380","23","7","30","436"
"2020-04-10","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-11","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-12","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-13","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-14","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-15","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-16","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-17","1,645","0","0","0","1,440","0","0","0","0"
"2020-04-18","1,646","0","0","0","1,440","0","0","0","0"
"2020-04-19","1,646","0","0","0","1,440","0","0","0","0"
"2020-04-20","1,646","0","0","0","1,440","0","0","0","0"
"2020-04-21","1,646","0","0","0","1,440","0","0","0","0"
"2020-04-22","1,646","0","0","0","1,440","0","0","0","0"
"2020-04-23","1,646","3,995","1.72","3","1,440","0","0","0","0"
"2020-04-24","2,737","4,411","1.9","1","1,215","95","70","60","1,294"
"2020-04-25","3,022","9,783","4.21","48","996","196","45","72","1,666"
"2020-04-26","2,103","1,583","0.68","1","1,144","102","13","0","529"
"2020-04-27","2,719","6,445","2.77","3","1,155","91","14","94","1,259"
"2020-04-28","2,925","5,965","2.57","1","596","192","26","75","1,462"
"2020-04-29","3,172","10,090","5.38","24","588","241","42","52","1,758"
"2020-04-30","2,568","7,032","3.02","4","679","178","28","25","1,009"

