Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-02-01","3,853","9,034","4.12","12","989","180","134","137","2,627"
"2020-02-02","3,990","14,041","6.26","9","959","178","166","137","2,823"
"2020-02-03","3,717","12,765","6.48","8","1,043","145","115","137","2,419"
"2020-02-04","3,473","13,652","6.02","15","1,081","167","76","116","2,140"
"2020-02-05","3,283","6,792","3.1","4","1,098","181","87","74","1,935"
"2020-02-06","3,424","8,183","3.56","11","1,074","170","104","92","2,070"
"2020-02-07","3,501","6,684","3.11","6","1,053","204","97","86","2,150"
"2020-02-08","4,526","14,497","6.91","8","410","175","184","192","3,427"
"2020-02-09","3,847","12,365","5.44","26","390","216","114","119","2,552"
"2020-02-10","4,944","13,404","5.84","17","349","230","227","180","3,927"
"2020-02-11","3,779","11,553","4.97","9","1,032","119","134","155","2,516"
"2020-02-12","3,488","11,141","4.94","19","1,074","140","123","103","2,143"
"2020-02-13","2,914","6,022","2.59","3","1,143","178","72","47","1,527"
"2020-02-14","4,131","13,492","6","17","435","210","66","198","2,920"
"2020-02-15","3,648","13,475","6.89","21","747","141","107","125","2,354"
"2020-02-16","3,455","11,555","5.04","11","524","153","98","111","2,110"
"2020-02-17","3,717","15,409","6.78","15","596","173","67","145","2,352"
"2020-02-18","2,572","7,199","3.1","10","1,135","275","15","10","1,194"
"2020-02-19","2,624","9,373","4.1","13","629","191","18","43","1,215"
"2020-02-20","2,372","7,405","3.22","5","1,203","214","8","15","942"
"2020-02-21","2,748","13,637","5.97","25","746","246","14","36","1,393"
"2020-02-22","3,867","7,576","3.26","4","982","145","192","121","2,665"
"2020-02-23","3,174","7,415","3.19","5","1,101","153","110","76","1,852"
"2020-02-24","3,192","6,145","2.68","7","596","171","99","71","1,832"
"2020-02-25","3,205","6,036","2.6","10","1,132","106","93","109","1,830"
"2020-02-26","4,179","14,839","6.55","18","979","162","109","190","2,920"
"2020-02-27","2,839","3,222","1.39","2","1,180","128","86","46","1,393"
"2020-02-28","2,520","4,555","1.96","7","1,256","113","29","42","995"
"2020-02-29","2,997","5,410","2.39","5","1,177","86","81","96","1,604"

