Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-01-01","3,312","11,765","5.85","19","1,012","194","51","108","2,011"
"2020-01-02","3,035","11,521","4.96","17","1,158","170","33","69","1,604"
"2020-01-03","2,424","5,499","2.37","8","1,289","50","9","4","308"
"2020-01-04","1,654","27","0.01","0","1,440","0","0","0","0"
"2020-01-05","1,653","11","0","0","1,440","0","0","0","0"
"2020-01-06","2,693","5,690","2.45","9","1,440","0","0","0","0"
"2020-01-07","1,651","0","0","0","1,440","0","0","0","0"
"2020-01-08","1,651","0","0","0","1,440","0","0","0","0"
"2020-01-09","1,651","0","0","0","1,440","0","0","0","0"
"2020-01-10","1,652","0","0","0","1,440","0","0","0","0"
"2020-01-11","3,019","9,877","4.25","17","1,172","118","50","100","1,585"
"2020-01-12","3,682","15,839","6.82","12","657","179","71","150","2,366"
"2020-01-13","3,482","10,694","5.26","11","685","180","92","89","2,094"
"2020-01-14","3,271","12,418","5.41","19","1,123","170","51","96","1,876"
"2020-01-15","3,494","7,878","3.43","6","983","161","137","85","2,170"
"2020-01-16","3,618","8,258","3.51","17","1,057","166","86","131","2,321"
"2020-01-17","2,981","6,854","2.98","7","1,134","253","20","33","1,575"
"2020-01-18","4,026","8,518","3.67","4","454","212","173","134","2,870"
"2020-01-19","3,668","10,437","4.53","20","664","186","126","102","2,326"
"2020-01-20","2,408","6,495","2.84","20","1,103","114","28","24","908"
"2020-01-21","4,432","8,878","3.84","9","883","236","141","180","3,311"
"2020-01-22","3,096","3,002","1.3","1","1,127","140","116","57","1,729"
"2020-01-23","3,435","7,442","3.2","3","1,079","168","92","101","2,092"
"2020-01-24","3,690","7,759","3.34","5","1,022","163","151","104","2,412"
"2020-01-25","4,376","15,163","7.48","20","936","168","113","223","3,222"
"2020-01-26","4,413","12,013","5.17","11","432","168","228","166","3,336"
"2020-01-27","2,764","3,288","1.41","1","1,181","141","70","48","1,323"
"2020-01-28","4,642","14,275","6.38","20","538","99","220","219","3,497"
"2020-01-29","4,093","16,844","8.53","23","918","282","106","134","2,957"
"2020-01-30","3,575","9,140","4.36","5","644","150","86","121","2,146"
"2020-01-31","3,248","6,689","2.83","12","846","145","88","94","1,865"

