Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-06-01","2,313","3,740","1.61","0","863","240","0","0","827"
"2020-06-02","3,355","15,441","6.64","7","515","241","33","104","2,009"
"2020-06-03","2,532","6,584","2.84","2","702","182","33","24","1,024"
"2020-06-04","2,923","6,599","2.84","2","827","272","43","21","1,437"
"2020-06-05","2,998","8,242","3.55","1","645","275","32","36","1,598"
"2020-06-06","3,465","22,257","9.57","16","327","166","45","160","2,154"
"2020-06-07","2,441","5,715","2.45","0","635","254","7","3","1,007"
"2020-06-08","2,371","5,601","2.4","2","771","175","11","21","867"
"2020-06-09","2,752","9,049","3.89","8","617","217","31","47","1,311"
"2020-06-10","2,485","4,769","2.05","2","705","211","13","10","955"
"2020-06-11","2,865","3,073","1.32","0","722","320","31","0","1,443"
"2020-06-12","2,785","10,474","4.51","8","679","176","13","70","1,261"
"2020-06-13","3,252","9,098","3.92","5","557","279","58","51","1,907"
"2020-06-14","2,548","7,247","3.11","1","506","198","12","39","1,057"
"2020-06-15","2,447","5,673","2.43","2","710","188","10","14","882"
"2020-06-16","2,581","6,286","2.7","3","736","206","5","33","1,045"
"2020-06-17","2,512","6,346","2.73","2","674","190","8","31","989"
"2020-06-18","2,951","9,447","4.78","13","599","264","12","35","1,501"
"2020-06-19","2,387","5,354","2.3","1","788","158","5","23","777"
"2020-06-20","2,333","4,430","1.91","0","772","182","8","12","794"
"2020-06-21","2,801","7,410","3.17","4","496","263","39","22","1,422"
"2020-06-22","2,571","6,953","2.99","1","815","216","5","30","1,068"
"2020-06-23","2,251","4,107","1.77","1","735","146","5","15","644"
"2020-06-24","2,687","5,867","2.53","4","852","179","31","35","1,161"
"2020-06-25","2,501","6,303","2.71","7","643","183","19","28","1,011"
"2020-06-26","2,683","3,874","1.67","1","729","213","20","26","1,130"
"2020-06-27","3,397","7,287","2.99","1","543","224","35","95","1,970"
"2020-06-28","2,476","4,087","1.76","1","787","240","10","0","933"
"2020-06-29","2,764","5,784","2.49","2","704","222","54","12","1,295"
"2020-06-30","2,694","7,220","3.11","1","559","205","20","35","1,188"

