Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-03-01","4,109","11,038","4.79","1","939","198","158","145","2,961"
"2020-03-02","4,247","7,356","3.17","4","890","195","212","143","3,144"
"2020-03-03","3,451","13,797","5.97","18","1,115","117","61","147","2,092"
"2020-03-04","2,243","3,676","1.58","14","1,224","69","43","18","723"
"2020-03-05","2,439","5,252","2.26","1","1,190","195","32","23","1,033"
"2020-03-06","2,770","10,652","5.3","17","784","278","8","22","1,401"
"2020-03-07","3,092","15,097","7.18","21","505","351","7","44","1,863"
"2020-03-08","2,446","8,033","3.46","4","631","291","0","0","1,093"
"2020-03-09","2,813","9,152","3.94","8","680","273","26","17","1,451"
"2020-03-10","2,399","7,561","3.26","4","674","239","4","15","999"
"2020-03-11","3,207","15,916","6.85","12","567","293","42","77","1,988"
"2020-03-12","2,890","12,373","5.36","14","708","297","11","38","1,581"
"2020-03-13","2,928","9,603","4.14","5","666","318","2","13","1,576"
"2020-03-14","3,140","14,276","6.21","24","734","285","69","39","1,853"
"2020-03-15","2,881","10,242","5.13","12","603","275","6","49","1,555"
"2020-03-16","2,886","5,076","1.73","6","667","217","51","36","1,470"
"2020-03-17","2,587","4,705","2.03","0","1,065","216","5","27","1,120"
"2020-03-18","2,707","3,593","1.55","0","642","154","56","40","1,254"
"2020-03-19","3,620","8,225","2.45","19","481","213","90","100","2,308"
"2020-03-20","2,806","5,550","2.39","3","769","207","25","43","1,372"
"2020-03-21","3,089","10,756","4.64","16","584","191","39","86","1,751"
"2020-03-22","2,701","7,324","3.15","4","1,233","65","56","86","1,271"
"2020-03-23","2,449","4,909","2.11","6","1,231","179","25","5","984"
"2020-03-24","2,189","4,699","2.02","1","1,306","92","15","27","667"
"2020-03-25","2,398","4,755","2.05","0","1,149","194","6","6","923"
"2020-03-26","2,465","7,548","4.17","22","1,320","34","15","71","946"
"2020-03-27","2,021","1,705","0.73","0","1,143","34","15","27","439"
"2020-03-28","2,943","5,556","2.39","6","1,185","142","54","59","1,529"
"2020-03-29","2,493","7,199","3.1","8","1,440","0","0","0","0"
"2020-03-30","2,949","5,922","2.55","6","1,440","0","0","0","0"
"2020-03-31","3,066","227","0.1","0","1,440","0","0","0","0"

