Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-05-01","2,109","2,559","1.1","0","1,003","120","11","7","502"
"2020-05-02","2,616","8,156","3.51","3","1,164","224","28","24","1,228"
"2020-05-03","2,209","3,352","1.44","0","745","196","0","0","698"
"2020-05-04","3,070","9,899","4.67","12","641","323","25","26","1,687"
"2020-05-05","3,072","7,864","3.95","12","535","216","82","35","1,668"
"2020-05-06","2,249","3,629","1.56","0","782","199","0","0","692"
"2020-05-07","3,073","11,711","5.67","15","808","296","15","29","1,651"
"2020-05-08","2,271","2,898","1.25","0","886","213","0","0","724"
"2020-05-09","2,897","8,448","3.64","4","573","362","31","7","1,598"
"2020-05-10","3,336","13,044","6.8","22","633","297","31","61","1,992"
"2020-05-11","2,646","4,592","1.94","2","741","237","15","29","1,191"
"2020-05-12","2,466","6,410","2.74","0","616","203","15","22","979"
"2020-05-13","2,526","5,257","2.26","0","711","279","8","0","1,078"
"2020-05-14","2,718","10,360","4.46","13","590","234","9","56","1,315"
"2020-05-15","2,959","10,512","4.52","11","665","225","38","64","1,562"
"2020-05-16","2,959","12,700","5.46","11","504","257","11","75","1,584"
"2020-05-17","2,628","8,344","3.59","4","774","190","24","35","1,126"
"2020-05-18","2,535","5,834","2.5","0","757","236","17","20","1,067"
"2020-05-19","2,981","10,891","4.69","4","650","292","25","42","1,608"
"2020-05-20","2,362","4,546","1.96","0","747","229","0","0","838"
"2020-05-21","2,515","6,129","2.64","0","788","196","5","31","991"
"2020-05-22","3,192","7,044","2.95","0","478","261","37","68","1,826"
"2020-05-23","3,000","13,529","5.82","12","663","243","19","79","1,621"
"2020-05-24","2,399","4,172","1.8","1","752","231","0","0","875"
"2020-05-25","2,467","6,981","2.95","2","797","221","10","24","1,021"
"2020-05-26","3,174","10,907","5.38","9","554","212","41","81","1,769"
"2020-05-27","2,588","8,194","3.51","3","748","164","17","43","1,032"
"2020-05-28","2,365","4,721","2.03","1","832","202","2","14","840"
"2020-05-29","3,582","4,140","1.7","0","641","253","12","103","2,176"
"2020-05-30","3,090","13,511","5.81","6","489","195","68","75","1,711"
"2020-05-31","2,609","9,296","4","7","694","172","9","56","1,120"

