Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-02-24 1:28AM","2020-02-24 9:51AM","447","56","31","503","114","247","86"
"2020-02-21 1:07AM","2020-02-21 7:45AM","377","21","0","398","N/A","N/A","N/A"
"2020-02-18 11:55PM","2020-02-19 9:19AM","518","44","3","564","N/A","N/A","N/A"
"2020-02-17 12:25AM","2020-02-17 8:04AM","408","51","30","459","72","248","88"
"2020-02-16 12:33AM","2020-02-16 9:47AM","462","92","35","554","55","308","99"
"2020-02-15 1:28AM","2020-02-15 6:48AM","291","29","24","320","69","141","81"
"2020-02-14 12:52AM","2020-02-14 9:43AM","470","61","26","531","112","287","71"
"2020-02-10 1:21AM","2020-02-10 8:55AM","380","74","36","454","69","236","75"
"2020-02-09 1:57AM","2020-02-09 11:58AM","525","76","39","601","119","326","80"
"2020-02-08 3:15AM","2020-02-08 11:15AM","450","29","2","479","N/A","N/A","N/A"

