Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-01-31 12:36AM","2020-01-31 5:03AM","234","33","1","267","N/A","N/A","N/A"
"2020-01-30 12:38AM","2020-01-30 7:57AM","412","27","1","439","N/A","N/A","N/A"
"2020-01-28 1:55AM","2020-01-28 7:59AM","320","44","15","364","30","238","52"
"2020-01-26 3:11AM","2020-01-26 10:37AM","394","52","24","446","91","195","108"
"2020-01-20 10:41PM","2020-01-20 11:52PM","69","2","1","71","N/A","N/A","N/A"
"2020-01-20 4:04PM","2020-01-20 5:44PM","100","0","0","100","N/A","N/A","N/A"
"2020-01-19 3:43AM","2020-01-19 9:45AM","326","36","21","362","91","188","47"
"2020-01-18 2:27AM","2020-01-18 10:14AM","426","41","29","467","82","254","90"
"2020-01-15 1:01AM","2020-01-15 2:15AM","67","7","0","74","N/A","N/A","N/A"
"2020-01-13 1:31AM","2020-01-13 8:05AM","359","35","29","394","77","196","86"
"2020-01-12 3:57AM","2020-01-12 10:21AM","335","48","24","383","36","197","102"
"2020-01-03 10:41AM","2020-01-03 12:09PM","78","10","1","88","N/A","N/A","N/A"
"2020-01-01 10:45PM","2020-01-02 12:10AM","83","2","0","85","N/A","N/A","N/A"

