Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-06-30 1:21AM","2020-06-30 11:42AM","528","93","34","621","101","330","97"
"2020-06-29 2:00AM","2020-06-29 9:28AM","401","47","35","448","127","198","76"
"2020-06-28 4:34AM","2020-06-28 11:17AM","360","43","16","403","82","201","77"
"2020-06-27 2:28AM","2020-06-27 11:31AM","464","79","23","543","81","258","125"
"2020-06-26 1:29AM","2020-06-26 9:01AM","413","39","28","452","100","270","43"
"2020-06-25 3:51PM","2020-06-25 5:24PM","89","4","1","93","N/A","N/A","N/A"
"2020-06-25 1:59AM","2020-06-25 9:53AM","419","55","31","474","98","233","88"
"2020-06-24 2:47AM","2020-06-24 8:31AM","296","47","24","343","47","193","56"
"2020-06-23 12:37AM","2020-06-23 9:37AM","481","58","33","539","75","299","107"
"2020-06-22 3:37AM","2020-06-22 9:52AM","323","51","24","374","78","199","46"
"2020-06-21 7:51PM","2020-06-21 9:00PM","65","4","0","69","N/A","N/A","N/A"
"2020-06-21 3:11AM","2020-06-21 12:22PM","495","56","29","551","119","274","102"
"2020-06-20 4:23AM","2020-06-20 12:09PM","413","53","28","466","74","312","27"
"2020-06-19 2:06AM","2020-06-19 9:52AM","418","48","27","466","119","199","100"
"2020-06-18 12:57AM","2020-06-18 9:47AM","470","60","38","530","94","315","61"
"2020-06-17 12:59AM","2020-06-17 9:56AM","459","78","35","537","118","276","65"
"2020-06-16 1:48AM","2020-06-16 9:28AM","408","52","28","460","77","233","98"
"2020-06-15 1:02AM","2020-06-15 9:40AM","458","60","30","518","124","232","102"
"2020-06-14 2:10PM","2020-06-14 3:46PM","90","6","1","96","N/A","N/A","N/A"
"2020-06-14 1:29AM","2020-06-14 11:19AM","501","88","34","589","78","354","69"
"2020-06-13 3:56AM","2020-06-13 12:11PM","434","61","26","495","107","245","82"
"2020-06-12 1:01AM","2020-06-12 9:24AM","446","56","24","502","69","305","72"
"2020-06-11 3:21AM","2020-06-11 9:28AM","320","47","20","367","62","197","61"
"2020-06-10 3:22PM","2020-06-10 4:54PM","83","9","1","92","N/A","N/A","N/A"
"2020-06-10 2:39AM","2020-06-10 9:28AM","360","49","26","409","91","196","73"
"2020-06-09 12:41AM","2020-06-09 9:29AM","467","61","33","528","118","234","115"
"2020-06-08 2:04AM","2020-06-08 9:46AM","399","63","27","462","80","224","95"
"2020-06-07 3:15AM","2020-06-07 12:16PM","455","86","26","541","101","275","79"
"2020-06-05 10:59PM","2020-06-06 11:21AM","638","104","35","742","144","427","67"
"2020-06-05 2:12AM","2020-06-05 9:44AM","397","55","29","452","40","247","110"
"2020-06-04 5:04AM","2020-06-04 9:41AM","249","28","16","277","44","148","57"
"2020-06-03 2:25AM","2020-06-03 10:44AM","435","64","34","499","92","229","114"
"2020-06-01 11:33PM","2020-06-02 8:40AM","496","51","38","547","109","288","99"
"2020-06-01 3:53AM","2020-06-01 9:30AM","314","23","22","337","44","173","97"

