Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-03-27 3:38PM","2020-03-27 7:20PM","204","17","5","221","N/A","N/A","N/A"
"2020-03-25 3:12PM","2020-03-25 4:37PM","84","1","0","85","N/A","N/A","N/A"
"2020-03-21 1:33AM","2020-03-21 10:33AM","510","29","1","540","N/A","N/A","N/A"
"2020-03-19 11:56PM","2020-03-20 6:36AM","383","17","0","400","N/A","N/A","N/A"
"2020-03-19 6:44PM","2020-03-19 7:50PM","60","6","1","66","N/A","N/A","N/A"
"2020-03-19 1:59AM","2020-03-19 10:07AM","442","45","35","487","110","255","77"
"2020-03-17 11:56PM","2020-03-18 9:08AM","496","56","3","552","N/A","N/A","N/A"
"2020-03-17 1:32AM","2020-03-17 3:36AM","114","7","0","123","N/A","N/A","N/A"
"2020-03-16 1:14AM","2020-03-16 9:03AM","430","38","1","469","N/A","N/A","N/A"
"2020-03-15 3:59AM","2020-03-15 12:26PM","499","8","1","507","N/A","N/A","N/A"
"2020-03-14 3:01AM","2020-03-14 8:14AM","297","16","1","313","N/A","N/A","N/A"
"2020-03-13 1:08AM","2020-03-13 8:29AM","427","13","0","441","N/A","N/A","N/A"
"2020-03-12 2:52AM","2020-03-12 9:18AM","353","19","0","386","N/A","N/A","N/A"
"2020-03-11 2:19AM","2020-03-11 10:00AM","447","14","0","461","N/A","N/A","N/A"
"2020-03-10 12:32AM","2020-03-10 9:01AM","476","28","0","508","N/A","N/A","N/A"
"2020-03-09 12:41AM","2020-03-09 8:05AM","412","23","1","444","N/A","N/A","N/A"
"2020-03-08 3:38AM","2020-03-08 12:17PM","489","22","2","518","N/A","N/A","N/A"
"2020-03-07 1:53AM","2020-03-07 10:46AM","491","35","3","533","N/A","N/A","N/A"
"2020-03-06 12:32AM","2020-03-06 6:20AM","338","10","0","348","N/A","N/A","N/A"
"2020-03-04 10:04PM","2020-03-04 11:31PM","80","6","0","86","N/A","N/A","N/A"

