Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-05-31 3:41AM","2020-05-31 12:10PM","461","48","28","509","125","233","103"
"2020-05-30 1:37AM","2020-05-30 11:50AM","503","110","34","613","107","288","108"
"2020-05-29 2:29AM","2020-05-29 9:40AM","382","49","23","431","102","197","83"
"2020-05-28 3:06AM","2020-05-28 9:36AM","362","28","24","390","107","177","78"
"2020-05-27 1:40AM","2020-05-27 9:28AM","393","75","25","468","87","215","91"
"2020-05-25 10:48PM","2020-05-26 8:01AM","477","75","30","552","118","256","103"
"2020-05-25 5:12AM","2020-05-25 11:40AM","347","41","20","388","75","188","84"
"2020-05-24 3:59AM","2020-05-24 11:36AM","389","68","26","457","98","193","98"
"2020-05-23 3:12AM","2020-05-23 10:28AM","386","50","25","436","85","236","65"
"2020-05-21 11:35PM","2020-05-22 9:31AM","517","79","32","596","116","299","102"
"2020-05-21 2:39AM","2020-05-21 9:39AM","365","55","26","420","85","208","72"
"2020-05-20 2:02AM","2020-05-20 9:47AM","403","61","26","464","101","183","119"
"2020-05-19 2:24AM","2020-05-19 9:35AM","391","40","22","431","104","195","92"
"2020-05-18 3:17AM","2020-05-18 10:07AM","360","50","28","410","89","184","87"
"2020-05-17 4:44AM","2020-05-17 11:41AM","373","44","24","417","105","201","67"
"2020-05-16 7:05PM","2020-05-16 8:12PM","54","12","0","66","N/A","N/A","N/A"
"2020-05-16 2:22AM","2020-05-16 11:09AM","469","58","28","527","134","237","98"
"2020-05-15 2:43AM","2020-05-15 10:12AM","386","62","20","448","65","240","81"
"2020-05-14 12:45AM","2020-05-14 9:56AM","478","73","34","551","81","254","143"
"2020-05-13 2:19AM","2020-05-13 9:41AM","396","46","26","442","89","241","66"
"2020-05-12 3:23PM","2020-05-12 4:46PM","73","10","0","83","N/A","N/A","N/A"
"2020-05-12 1:04AM","2020-05-12 9:25AM","443","58","30","501","92","282","69"
"2020-05-11 2:16AM","2020-05-11 9:14AM","382","36","23","418","102","213","67"
"2020-05-10 5:13AM","2020-05-10 12:11PM","363","55","19","418","71","197","95"
"2020-05-09 2:09AM","2020-05-09 9:56AM","431","36","25","467","87","271","73"
"2020-05-08 2:49AM","2020-05-08 8:30AM","311","30","20","341","61","173","77"
"2020-05-07 2:58AM","2020-05-07 7:50AM","252","40","21","292","18","167","67"
"2020-05-06 2:00AM","2020-05-06 9:39AM","409","50","21","459","108","216","85"
"2020-05-05 12:28PM","2020-05-05 1:45PM","69","7","0","76","N/A","N/A","N/A"
"2020-05-05 1:08AM","2020-05-05 9:24AM","417","79","23","496","103","195","119"
"2020-05-04 2:53AM","2020-05-04 9:58AM","374","51","22","425","85","189","100"
"2020-05-03 2:36AM","2020-05-03 10:56AM","445","54","28","499","131","216","98"
"2020-05-01 1:43AM","2020-05-01 6:42AM","258","41","21","299","28","171","59"

